Agency Name,Agency Size,percentage_2024,percentage_2023,percentage_2022,percentage_2021,percentage_2020
Governmentwide,,69,68,66,67,72
Very Large Agencies Overall,,69,,,,
Department of Agriculture,Very Large,69,67,65,65,68
"Department of Defense, Overall",Very Large,70,68,67,67,72
United States Department of the Air Force,Very Large,69,69,68,66,72
United States Department of the Army,Very Large,72,70,67,66,72
United States Department of the Navy,Very Large,70,68,65,66,72
"OSD, Joint Staff, Defense Agencies, and Field Activities (DOD 4th Estate)",Very Large,66,67,70,70,73
Department of Health and Human Services,Very Large,77,76,75,75,77
Department of Homeland Security,Very Large,67,64,59,60,65
Department of Justice,Very Large,64,61,59,62,69
Department of the Treasury,Very Large,70,70,69,71,75
Large Agencies Overall,,70,,,,
Department of Commerce,Large,73,73,72,74,76
Department of Energy,Large,78,78,75,74,77
Department of Labor,Large,73,73,70,72,72
Department of State,Large,64,63,63,64,69
Department of the Interior,Large,72,71,68,69,71
Department of Transportation,Large,72,73,71,70,78
Environmental Protection Agency,Large,79,77,76,75,72
General Services Administration,Large,84,83,80,81,82
Social Security Administration,Large,57,56,56,62,67
Medium Agencies Overall,,73,,,,
Court Services and Offender Supervision Agency,Medium,64,68,65,68,73
Department of Education,Medium,70,73,72,73,66
Department of Housing and Urban Development,Medium,73,74,73,76,76
Equal Employment Opportunity Commission,Medium,75,76,76,79,76
Federal Communications Commission,Medium,76,74,75,76,77
Federal Energy Regulatory Commission,Medium,83,80,77,82,85
Federal Trade Commission,Medium,79,77,69,67,87
National Archives and Records Administration,Medium,70,70,71,73,75
National Credit Union Administration,Medium,79,73,70,74,78
National Labor Relations Board,Medium,61,71,64,65,65
National Science Foundation,Medium,70,77,82,83,82
Nuclear Regulatory Commission,Medium,72,69,70,69,75
Office of Personnel Management,Medium,77,76,73,73,75
Small Business Administration,Medium,79,78,80,75,76
U.S. Agency for Global Media,Medium,70,72,69,73,64
U.S. Agency for International Development,Medium,62,63,65,69,69
Small Agencies Overall,,75,,,,
Commodity Futures Trading Commission,Small,76,72,67,69,70
Consumer Product Safety Commission,Small,81,73,65,68,72
Corporation for National and Community Service,Small,77,71,65,64,60
Defense Nuclear Facilities Safety Board,Small,76,81,73,77,67
Export-Import Bank of the United States,Small,49,54,65,83,76
Farm Credit Administration,Small,80,83,79,77,85
Federal Election Commission,Small,68,65,68,67,75
Federal Housing Finance Agency,Small,65,62,72,72,78
Federal Labor Relations Authority,Small,84,82,82,81,73
Federal Maritime Commission,Small,49,60,67,77,82
Federal Mediation and Conciliation Service,Small,74,64,73,75,85
Federal Retirement Thrift Investment Board,Small,70,74,74,70,75
International Boundary and Water Commission,Small,69,70,65,63,69
Merit Systems Protection Board,Small,64,62,74,74,75
National Endowment for the Arts,Small,62,75,71,73,78
National Endowment for the Humanities,Small,87,90,87,83,63
National Gallery of Art,Small,68,67,68,66,70
National Indian Gaming Commission,Small,91,92,87,79,79
National Transportation Safety Board,Small,75,72,71,75,81
Office of Management and Budget,Small,81,74,69,71,59
Office of the U.S. Trade Representative,Small,61,59,60,65,69
Peace Corps,Small,73,73,70,--,--
Pension Benefit Guaranty Corporation,Small,90,88,87,85,84
Railroad Retirement Board,Small,78,76,69,67,70
Selective Service System,Small,70,78,75,81,82
Surface Transportation Board,Small,79,74,73,79,77
U.S. International Development Finance Corporation,Small,70,61,73,71,61
U.S. International Trade Commission,Small,78,73,76,79,84
U.S. Office of Special Counsel,Small,83,88,87,83,90
Very Small Agencies Overall,,72,,,,
AbilityOne Commission,Very Small,70,71,66,N<10,90
Advisory Council on Historic Preservation,Very Small,63,82,76,--,--
African Development Foundation,Very Small,73,81,--,--,51
American Battle Monuments Commission,Very Small,61,53,59,70,77
Commission on Civil Rights,Very Small,58,83,72,N<10,70
Farm Credit System Insurance Corporation,Very Small,N<10,N<10,N<10,N<10,N<10
Federal Permitting Improvement Steering Council,Very Small,N<10,89,--,--,--
Institute of Museum and Library Services,Very Small,84,68,79,80,84
Inter-American Foundation,Very Small,31,67,69,78,77
John F. Kennedy Center for the Performing Arts,Very Small,50,48,43,N<10,53
Marine Mammal Commission,Very Small,100,93,91,93,85
National Capital Planning Commission,Very Small,84,81,92,93,93
National Council on Disability,Very Small,N<10,N<10,N<10,--,--
National Mediation Board,Very Small,70,65,N<10,84,93
Occupational Safety and Health Review Commission,Very Small,95,100,87,95,100
Office of Navajo and Hopi Indian Relocation,Very Small,N<10,N<10,N<10,N<10,N<10
Postal Regulatory Commission,Very Small,81,87,76,81,87
Privacy and Civil Liberties Oversight Board,Very Small,94,16,--,--,--
U.S. Access Board,Very Small,71,69,N<10,100,84
U.S. Chemical Safety and Hazard Investigation Board,Very Small,69,60,30,--,66
U.S. Office of Government Ethics,Very Small,82,85,75,88,85
U.S. Trade and Development Agency,Very Small,64,82,73,--,74
