Agency Name,Agency Size,percentage_2024,percentage_2023,percentage_2022,percentage_2021,percentage_2020
Governmentwide,,64,62,60,61,66
Very Large Agencies Overall,,63,,,,
Department of Agriculture,Very Large,62,60,57,56,59
"Department of Defense, Overall",Very Large,64,63,61,61,67
United States Department of the Air Force,Very Large,63,65,63,62,67
United States Department of the Army,Very Large,67,65,61,60,66
United States Department of the Navy,Very Large,64,61,58,59,66
"OSD, Joint Staff, Defense Agencies, and Field Activities (DOD 4th Estate)",Very Large,59,61,65,65,69
Department of Health and Human Services,Very Large,74,73,72,72,73
Department of Homeland Security,Very Large,61,57,51,53,57
Department of Justice,Very Large,57,54,52,55,64
Department of the Treasury,Very Large,65,65,64,66,69
Large Agencies Overall,,65,,,,
Department of Commerce,Large,69,69,68,71,72
Department of Energy,Large,75,75,71,70,73
Department of Labor,Large,69,70,66,68,67
Department of State,Large,58,57,58,58,59
Department of the Interior,Large,65,64,62,62,63
Department of Transportation,Large,65,66,64,64,72
Environmental Protection Agency,Large,78,75,73,73,62
General Services Administration,Large,84,83,80,81,83
Social Security Administration,Large,51,49,51,57,62
Medium Agencies Overall,,69,,,,
Court Services and Offender Supervision Agency,Medium,58,54,55,61,67
Department of Education,Medium,62,67,66,68,55
Department of Housing and Urban Development,Medium,68,70,68,71,70
Equal Employment Opportunity Commission,Medium,72,73,70,76,71
Federal Communications Commission,Medium,76,72,71,73,74
Federal Energy Regulatory Commission,Medium,85,81,79,82,86
Federal Trade Commission,Medium,73,72,62,60,89
National Archives and Records Administration,Medium,64,62,64,69,68
National Credit Union Administration,Medium,77,72,67,74,78
National Labor Relations Board,Medium,57,66,57,57,48
National Science Foundation,Medium,65,72,82,85,84
Nuclear Regulatory Commission,Medium,65,61,64,67,72
Office of Personnel Management,Medium,75,73,69,69,69
Small Business Administration,Medium,77,75,75,69,70
U.S. Agency for Global Media,Medium,61,67,62,64,50
U.S. Agency for International Development,Medium,61,60,64,67,64
Small Agencies Overall,,69,,,,
Commodity Futures Trading Commission,Small,69,64,62,65,66
Consumer Product Safety Commission,Small,77,72,60,66,71
Corporation for National and Community Service,Small,77,72,66,63,53
Defense Nuclear Facilities Safety Board,Small,62,76,69,76,57
Export-Import Bank of the United States,Small,30,34,50,72,68
Farm Credit Administration,Small,76,80,77,74,84
Federal Election Commission,Small,50,48,59,53,64
Federal Housing Finance Agency,Small,58,57,67,70,78
Federal Labor Relations Authority,Small,77,81,80,76,58
Federal Maritime Commission,Small,44,64,69,76,85
Federal Mediation and Conciliation Service,Small,60,52,56,57,75
Federal Retirement Thrift Investment Board,Small,71,69,67,64,73
International Boundary and Water Commission,Small,60,64,60,54,51
Merit Systems Protection Board,Small,55,49,66,74,70
National Endowment for the Arts,Small,60,65,71,72,84
National Endowment for the Humanities,Small,86,90,83,82,59
National Gallery of Art,Small,58,59,58,57,62
National Indian Gaming Commission,Small,94,94,86,78,75
National Transportation Safety Board,Small,70,63,67,74,79
Office of Management and Budget,Small,79,74,68,67,45
Office of the U.S. Trade Representative,Small,50,58,54,67,60
Peace Corps,Small,68,71,69,--,--
Pension Benefit Guaranty Corporation,Small,90,87,87,85,86
Railroad Retirement Board,Small,73,70,65,65,66
Selective Service System,Small,64,78,77,77,82
Surface Transportation Board,Small,80,69,75,79,77
U.S. International Development Finance Corporation,Small,64,60,73,71,55
U.S. International Trade Commission,Small,75,72,75,79,86
U.S. Office of Special Counsel,Small,81,83,83,84,83
Very Small Agencies Overall,,69,,,,
AbilityOne Commission,Very Small,66,60,60,N<10,72
Advisory Council on Historic Preservation,Very Small,53,83,77,--,--
African Development Foundation,Very Small,80,61,--,--,48
American Battle Monuments Commission,Very Small,64,61,54,68,73
Commission on Civil Rights,Very Small,48,66,72,N<10,58
Farm Credit System Insurance Corporation,Very Small,N<10,N<10,N<10,N<10,N<10
Federal Permitting Improvement Steering Council,Very Small,N<10,89,--,--,--
Institute of Museum and Library Services,Very Small,81,62,80,85,77
Inter-American Foundation,Very Small,21,64,67,75,83
John F. Kennedy Center for the Performing Arts,Very Small,39,53,30,N<10,43
Marine Mammal Commission,Very Small,100,93,91,93,93
National Capital Planning Commission,Very Small,87,81,92,93,89
National Council on Disability,Very Small,N<10,N<10,N<10,--,--
National Mediation Board,Very Small,63,65,N<10,65,78
Occupational Safety and Health Review Commission,Very Small,95,100,84,95,88
Office of Navajo and Hopi Indian Relocation,Very Small,N<10,N<10,N<10,N<10,N<10
Postal Regulatory Commission,Very Small,78,89,79,81,87
Privacy and Civil Liberties Oversight Board,Very Small,68,8,--,--,--
U.S. Access Board,Very Small,59,69,N<10,92,87
U.S. Chemical Safety and Hazard Investigation Board,Very Small,62,55,12,--,42
U.S. Office of Government Ethics,Very Small,88,88,76,88,86
U.S. Trade and Development Agency,Very Small,72,86,77,--,77
