Agency Name,Agency Size,percentage_2024,percentage_2023,percentage_2022,percentage_2021,percentage_2020
Governmentwide,,65,64,62,64,69
Very Large Agencies Overall,,65,,,,
Department of Agriculture,Very Large,63,61,59,59,64
"Department of Defense, Overall",Very Large,65,64,62,64,70
United States Department of the Air Force,Very Large,65,65,63,63,69
United States Department of the Army,Very Large,68,66,63,63,69
United States Department of the Navy,Very Large,65,63,60,63,70
"OSD, Joint Staff, Defense Agencies, and Field Activities (DOD 4th Estate)",Very Large,62,63,66,68,71
Department of Health and Human Services,Very Large,73,72,71,72,74
Department of Homeland Security,Very Large,64,60,54,57,61
Department of Justice,Very Large,59,56,54,60,67
Department of the Treasury,Very Large,65,65,65,68,71
Large Agencies Overall,,66,,,,
Department of Commerce,Large,69,68,67,71,74
Department of Energy,Large,75,75,72,72,75
Department of Labor,Large,69,70,66,70,70
Department of State,Large,62,60,61,63,67
Department of the Interior,Large,66,65,63,65,67
Department of Transportation,Large,68,69,66,68,74
Environmental Protection Agency,Large,77,75,74,74,70
General Services Administration,Large,82,81,78,80,82
Social Security Administration,Large,53,52,53,60,65
Medium Agencies Overall,,70,,,,
Court Services and Offender Supervision Agency,Medium,61,61,60,65,69
Department of Education,Medium,66,69,67,70,61
Department of Housing and Urban Development,Medium,70,72,70,73,73
Equal Employment Opportunity Commission,Medium,70,71,69,75,73
Federal Communications Commission,Medium,74,71,71,72,75
Federal Energy Regulatory Commission,Medium,80,77,75,80,84
Federal Trade Commission,Medium,69,68,62,60,82
National Archives and Records Administration,Medium,64,64,64,68,69
National Credit Union Administration,Medium,76,72,65,73,78
National Labor Relations Board,Medium,58,66,59,62,57
National Science Foundation,Medium,68,75,81,84,82
Nuclear Regulatory Commission,Medium,68,66,67,70,75
Office of Personnel Management,Medium,75,74,70,71,72
Small Business Administration,Medium,75,74,73,70,72
U.S. Agency for Global Media,Medium,66,68,63,66,57
U.S. Agency for International Development,Medium,63,62,65,69,69
Small Agencies Overall,,70,,,,
Commodity Futures Trading Commission,Small,74,68,66,69,66
Consumer Product Safety Commission,Small,75,70,62,66,72
Corporation for National and Community Service,Small,73,67,62,60,54
Defense Nuclear Facilities Safety Board,Small,73,80,70,75,67
Export-Import Bank of the United States,Small,41,43,57,75,68
Farm Credit Administration,Small,76,79,75,78,85
Federal Election Commission,Small,57,57,61,58,67
Federal Housing Finance Agency,Small,62,61,69,73,78
Federal Labor Relations Authority,Small,79,79,80,80,71
Federal Maritime Commission,Small,50,66,70,77,81
Federal Mediation and Conciliation Service,Small,68,62,68,68,81
Federal Retirement Thrift Investment Board,Small,71,70,70,68,72
International Boundary and Water Commission,Small,61,64,60,57,59
Merit Systems Protection Board,Small,60,59,70,72,73
National Endowment for the Arts,Small,66,70,72,73,80
National Endowment for the Humanities,Small,88,88,83,80,64
National Gallery of Art,Small,62,61,59,60,64
National Indian Gaming Commission,Small,89,91,83,77,78
National Transportation Safety Board,Small,72,68,70,76,80
Office of Management and Budget,Small,78,73,68,69,59
Office of the U.S. Trade Representative,Small,55,59,58,64,66
Peace Corps,Small,71,71,70,--,--
Pension Benefit Guaranty Corporation,Small,87,84,83,82,82
Railroad Retirement Board,Small,72,71,65,66,67
Selective Service System,Small,65,76,73,78,80
Surface Transportation Board,Small,79,71,74,78,76
U.S. International Development Finance Corporation,Small,64,59,67,67,57
U.S. International Trade Commission,Small,72,70,71,74,80
U.S. Office of Special Counsel,Small,79,83,82,80,84
Very Small Agencies Overall,,69,,,,
AbilityOne Commission,Very Small,68,63,59,N<10,72
Advisory Council on Historic Preservation,Very Small,62,81,76,--,--
African Development Foundation,Very Small,65,68,--,--,43
American Battle Monuments Commission,Very Small,64,61,59,66,76
Commission on Civil Rights,Very Small,48,73,69,N<10,62
Farm Credit System Insurance Corporation,Very Small,N<10,N<10,N<10,N<10,N<10
Federal Permitting Improvement Steering Council,Very Small,N<10,88,--,--,--
Institute of Museum and Library Services,Very Small,82,67,78,81,76
Inter-American Foundation,Very Small,31,60,66,77,79
John F. Kennedy Center for the Performing Arts,Very Small,45,44,40,N<10,47
Marine Mammal Commission,Very Small,98,91,91,93,94
National Capital Planning Commission,Very Small,81,78,88,91,89
National Council on Disability,Very Small,N<10,N<10,N<10,--,--
National Mediation Board,Very Small,57,62,N<10,74,80
Occupational Safety and Health Review Commission,Very Small,89,90,83,89,92
Office of Navajo and Hopi Indian Relocation,Very Small,N<10,N<10,N<10,N<10,N<10
Postal Regulatory Commission,Very Small,76,88,78,82,81
Privacy and Civil Liberties Oversight Board,Very Small,81,25,--,--,--
U.S. Access Board,Very Small,60,70,N<10,96,86
U.S. Chemical Safety and Hazard Investigation Board,Very Small,64,54,26,--,52
U.S. Office of Government Ethics,Very Small,80,82,74,85,84
U.S. Trade and Development Agency,Very Small,67,78,71,--,71
