Agency Name,Agency Size,percentage_2024,percentage_2023,percentage_2022,percentage_2021,percentage_2020
Governmentwide,,59,57,56,61,67
Very Large Agencies Overall,,59,,,,
Department of Agriculture,Very Large,51,48,48,53,63
"Department of Defense, Overall",Very Large,60,59,57,62,68
United States Department of the Air Force,Very Large,58,58,56,58,66
United States Department of the Army,Very Large,63,62,58,61,68
United States Department of the Navy,Very Large,58,56,55,62,68
"OSD, Joint Staff, Defense Agencies, and Field Activities (DOD 4th Estate)",Very Large,59,59,64,69,71
Department of Health and Human Services,Very Large,64,63,63,66,70
Department of Homeland Security,Very Large,63,57,50,57,60
Department of Justice,Very Large,52,51,51,59,67
Department of the Treasury,Very Large,54,55,56,60,67
Large Agencies Overall,,59,,,,
Department of Commerce,Large,59,56,56,63,70
Department of Energy,Large,67,67,65,70,74
Department of Labor,Large,64,62,60,67,71
Department of State,Large,60,58,59,63,70
Department of the Interior,Large,55,54,54,61,66
Department of Transportation,Large,61,61,60,66,68
Environmental Protection Agency,Large,69,67,67,71,75
General Services Administration,Large,73,72,70,74,78
Social Security Administration,Large,49,49,51,61,67
Medium Agencies Overall,,65,,,,
Court Services and Offender Supervision Agency,Medium,71,67,66,74,76
Department of Education,Medium,68,67,64,69,68
Department of Housing and Urban Development,Medium,70,71,69,72,76
Equal Employment Opportunity Commission,Medium,61,61,61,70,70
Federal Communications Commission,Medium,67,63,62,63,70
Federal Energy Regulatory Commission,Medium,63,62,62,70,77
Federal Trade Commission,Medium,41,47,44,44,62
National Archives and Records Administration,Medium,57,56,57,64,64
National Credit Union Administration,Medium,65,62,50,64,72
National Labor Relations Board,Medium,55,59,54,63,60
National Science Foundation,Medium,64,72,76,77,77
Nuclear Regulatory Commission,Medium,68,66,68,73,76
Office of Personnel Management,Medium,68,69,66,70,74
Small Business Administration,Medium,65,64,63,69,74
U.S. Agency for Global Media,Medium,69,67,63,68,65
U.S. Agency for International Development,Medium,63,61,60,65,68
Small Agencies Overall,,65,,,,
Commodity Futures Trading Commission,Small,76,67,68,73,61
Consumer Product Safety Commission,Small,64,60,58,61,72
Corporation for National and Community Service,Small,60,50,48,46,46
Defense Nuclear Facilities Safety Board,Small,82,84,71,77,84
Export-Import Bank of the United States,Small,48,48,60,72,63
Farm Credit Administration,Small,63,65,58,74,83
Federal Election Commission,Small,61,62,58,61,66
Federal Housing Finance Agency,Small,62,61,66,74,74
Federal Labor Relations Authority,Small,73,70,74,83,86
Federal Maritime Commission,Small,60,75,71,77,76
Federal Mediation and Conciliation Service,Small,68,71,78,72,79
Federal Retirement Thrift Investment Board,Small,71,70,71,70,71
International Boundary and Water Commission,Small,51,58,58,55,64
Merit Systems Protection Board,Small,66,67,69,66,75
National Endowment for the Arts,Small,71,69,74,73,76
National Endowment for the Humanities,Small,86,82,78,67,64
National Gallery of Art,Small,57,53,51,53,57
National Indian Gaming Commission,Small,81,82,72,70,82
National Transportation Safety Board,Small,72,67,66,73,78
Office of Management and Budget,Small,67,64,62,64,68
Office of the U.S. Trade Representative,Small,57,55,59,59,66
Peace Corps,Small,65,64,64,--,--
Pension Benefit Guaranty Corporation,Small,79,73,70,71,71
Railroad Retirement Board,Small,59,62,59,64,63
Selective Service System,Small,58,65,73,78,76
Surface Transportation Board,Small,80,69,68,75,74
U.S. International Development Finance Corporation,Small,51,47,48,48,47
U.S. International Trade Commission,Small,54,53,54,57,62
U.S. Office of Special Counsel,Small,69,74,69,66,76
Very Small Agencies Overall,,62,,,,
AbilityOne Commission,Very Small,72,61,63,N<10,64
Advisory Council on Historic Preservation,Very Small,65,74,63,--,--
African Development Foundation,Very Small,40,62,--,--,30
American Battle Monuments Commission,Very Small,63,68,67,63,76
Commission on Civil Rights,Very Small,48,79,71,N<10,70
Farm Credit System Insurance Corporation,Very Small,N<10,N<10,N<10,N<10,N<10
Federal Permitting Improvement Steering Council,Very Small,N<10,87,--,--,--
Institute of Museum and Library Services,Very Small,77,67,70,75,70
Inter-American Foundation,Very Small,43,53,59,78,79
John F. Kennedy Center for the Performing Arts,Very Small,40,39,47,N<10,47
Marine Mammal Commission,Very Small,94,76,91,92,100
National Capital Planning Commission,Very Small,62,62,73,86,80
National Council on Disability,Very Small,N<10,N<10,N<10,--,--
National Mediation Board,Very Small,46,58,N<10,68,70
Occupational Safety and Health Review Commission,Very Small,75,71,75,71,84
Office of Navajo and Hopi Indian Relocation,Very Small,N<10,N<10,N<10,N<10,N<10
Postal Regulatory Commission,Very Small,63,80,68,74,62
Privacy and Civil Liberties Oversight Board,Very Small,89,49,--,--,--
U.S. Access Board,Very Small,60,79,N<10,92,81
U.S. Chemical Safety and Hazard Investigation Board,Very Small,60,53,44,--,66
U.S. Office of Government Ethics,Very Small,61,65,63,76,78
U.S. Trade and Development Agency,Very Small,49,56,54,--,53
